StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q4_22,Q4_23,Q4_24,Q4_25,Q4_26,Q4_27,Q4_28,Q4_29,Q4_30,Q4_31,Q4_32,Q4_33,Q4_34,Q4_35,Q4_36,Q4_37,Q4_38,Q4_39,Q4_40,Q4_41,Q4_42,Q4_43,Q4_44,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6_1,Q6_2,Q6_3,Q7_First Click,Q7_Last Click,Q7_Page Submit,Q7_Click Count,Q8_1,Q8_2,Q8_3,Q9_First Click,Q9_Last Click,Q9_Page Submit,Q9_Click Count,Q21,Q10_1,Q10_2,Q10_3,Q11_First Click,Q11_Last Click,Q11_Page Submit,Q11_Click Count,Q12_1,Q12_2,Q12_3,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q14_1,Q14_2,Q14_3,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,Q16_1,Q16_2,Q16_3,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q18_1,Q18_2,Q18_3,Q19_First Click,Q19_Last Click,Q19_Page Submit,Q19_Click Count,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:",I see myself as someone who is: - Is talkative,I see myself as someone who is: - Tends to find fault with others,I see myself as someone who is: - Does a thorough job,"I see myself as someone who is: - Is depressed, blue","I see myself as someone who is: - Is original, comes up with new ideas",I see myself as someone who is: - Is reserved,I see myself as someone who is: - Is helpful and unselfish with others,I see myself as someone who is: - Can be somewhat careless,"I see myself as someone who is: - Is relaxed, handles stress well",I see myself as someone who is: - Is curious about many different things,I see myself as someone who is: - Is full of energy,I see myself as someone who is: - Starts quarrels with others,I see myself as someone who is: - Is a reliable worker,I see myself as someone who is: - Can be tense,"I see myself as someone who is: - Is ingenious, a deep thinker",I see myself as someone who is: - Generates a lot of enthusiasm,I see myself as someone who is: - Has a forgiving nature,I see myself as someone who is: - Tends to be disorganized,I see myself as someone who is: - Worries a lot,I see myself as someone who is: - Has ana active imagination,I see myself as someone who is: - Tends to be quiet,I see myself as someone who is: - Is generally trusting,I see myself as someone who is: - Tends to be lazy,"I see myself as someone who is: - Is emotionally stable, not easily upset",I see myself as someone who is: - Is inventive,I see myself as someone who is: - Has an assertive personality,I see myself as someone who is: - Can be cold and aloof,I see myself as someone who is: - Preseveres until the task is finished,I see myself as someone who is: - Can be moody,"I see myself as someone who is: - Values artistic, aesthetic experiences","I see myself as someone who is: - Is sometimes shy, inhibited",I see myself as someone who is: - Is considerate and kind to almost everyone,I see myself as someone who is: - Does things efficiently,I see myself as someone who is: - Remains calm in tense situations,I see myself as someone who is: - Prefers work that is routine,"I see myself as someone who is: - Is outgoing, sociable",I see myself as someone who is: - Is sometimes rude to others,I see myself as someone who is: - Makes plans and follows through with them,I see myself as someone who is: - Gets nervous easily,"I see myself as someone who is: - Likes to reflect, play with ideas",I see myself as someone who is: - Has few artistic interests,I see myself as someone who is: - Likes to cooperate with others,I see myself as someone who is: - Is easily disracted,"I see myself as someone who is: - Is sophisticated in art, music, or literature",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Emma lives in an apartment with her two cats in the center of the city and is an outgoing person. She takes yoga classes at the gym three times a week, enjoys reading science-fiction books and volunteers at least once a week in an animal shelter.
Rank the options in descending order from most to least probable. - Emma is a manager.","Emma lives in an apartment with her two cats in the center of the city and is an outgoing person. She takes yoga classes at the gym three times a week, enjoys reading science-fiction books and volunteers at least once a week in an animal shelter.
Rank the options in descending order from most to least probable. - Emma likes to exercise.","Emma lives in an apartment with her two cats in the center of the city and is an outgoing person. She takes yoga classes at the gym three times a week, enjoys reading science-fiction books and volunteers at least once a week in an animal shelter.
Rank the options in descending order from most to least probable. - Emma is a manager and likes to exercise.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Liz lives in a Victorian home in Oakland. She is an analytical thinker and works
at a start-up company. She tries to attend a few classes at the gym every week. She is very
ambitious at her job and also enjoys cooking very much and is quite good at it. 
Rank the options in descending order from most to least probable. - Liz is a programmer.","Liz lives in a Victorian home in Oakland. She is an analytical thinker and works
at a start-up company. She tries to attend a few classes at the gym every week. She is very
ambitious at her job and also enjoys cooking very much and is quite good at it. 
Rank the options in descending order from most to least probable. - Lis likes to paint.","Liz lives in a Victorian home in Oakland. She is an analytical thinker and works
at a start-up company. She tries to attend a few classes at the gym every week. She is very
ambitious at her job and also enjoys cooking very much and is quite good at it. 
Rank the options in descending order from most to least probable. - Liz is a programmer and likes to paint.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does Liz enjoy doing?,"Emma and Liz want to do an extracurricular activity together.For each statement, please move the horizontal slider to represent how likely it is they will choose this activity and why.
Rank the options in descending order from most to least probable. - Take a spinning class, because Emma likes to exercise.","Emma and Liz want to do an extracurricular activity together.For each statement, please move the horizontal slider to represent how likely it is they will choose this activity and why.
Rank the options in descending order from most to least probable. - Take a realistic painting class, because Liz like to paint.","Emma and Liz want to do an extracurricular activity together.For each statement, please move the horizontal slider to represent how likely it is they will choose this activity and why.
Rank the options in descending order from most to least probable. - Take a spinning class or a realistic painting class.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The Start-up where Liz and Emma's work was recently bought by another company. The new CEO is dismissing many employees. Who do you think the new CEO will not dismiss?
Rank the options in descending order from most to least probable. - Liz, because she is a programmer.","The Start-up where Liz and Emma's work was recently bought by another company. The new CEO is dismissing many employees. Who do you think the new CEO will not dismiss?
Rank the options in descending order from most to least probable. - Emma, because she is a manager and Liz, because she is a programmer.","The Start-up where Liz and Emma's work was recently bought by another company. The new CEO is dismissing many employees. Who do you think the new CEO will not dismiss?
Rank the options in descending order from most to least probable. - Emma, because she is a manager.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Liz and Emma came up with an idea for a new business.
Rank the options in descending order from most to least probable. - A mobile App because of Liz’s programming skills.","Liz and Emma came up with an idea for a new business.
Rank the options in descending order from most to least probable. - A fitness business because Emma likes to exercise.","Liz and Emma came up with an idea for a new business.
Rank the options in descending order from most to least probable. - A mobile App because of Liz’s programming skills or a fitness business because Emma likes to exercise.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Recently, Emma came to the conclusion that she doesn’t have enough time in a day.
Rank the options in descending order from most to least probable. - For her work, as a manager.","Recently, Emma came to the conclusion that she doesn’t have enough time in a day.
Rank the options in descending order from most to least probable. - To exercise.","Recently, Emma came to the conclusion that she doesn’t have enough time in a day.
Rank the options in descending order from most to least probable. - To work as a manager or to exercise.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Emma and Liz have been best friends for years. How do you think they met?

Rank the options in descending order from most to least probable. - Emma bought a painting from Liz at an art fair.","Emma and Liz have been best friends for years. How do you think they met?

Rank the options in descending order from most to least probable. - They met when Emma hired Liz for her team.","Emma and Liz have been best friends for years. How do you think they met?

Rank the options in descending order from most to least probable. - They met when Emma hired Liz for her team or when Emma bought a painting from Liz at an art fair.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,survey_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID11_11""}","{""ImportId"":""QID11_12""}","{""ImportId"":""QID11_13""}","{""ImportId"":""QID11_14""}","{""ImportId"":""QID11_15""}","{""ImportId"":""QID11_16""}","{""ImportId"":""QID11_17""}","{""ImportId"":""QID11_18""}","{""ImportId"":""QID11_19""}","{""ImportId"":""QID11_20""}","{""ImportId"":""QID11_21""}","{""ImportId"":""QID11_22""}","{""ImportId"":""QID11_23""}","{""ImportId"":""QID11_24""}","{""ImportId"":""QID11_25""}","{""ImportId"":""QID11_26""}","{""ImportId"":""QID11_27""}","{""ImportId"":""QID11_28""}","{""ImportId"":""QID11_29""}","{""ImportId"":""QID11_30""}","{""ImportId"":""QID11_31""}","{""ImportId"":""QID11_32""}","{""ImportId"":""QID11_33""}","{""ImportId"":""QID11_34""}","{""ImportId"":""QID11_35""}","{""ImportId"":""QID11_36""}","{""ImportId"":""QID11_37""}","{""ImportId"":""QID11_38""}","{""ImportId"":""QID11_39""}","{""ImportId"":""QID11_40""}","{""ImportId"":""QID11_41""}","{""ImportId"":""QID11_42""}","{""ImportId"":""QID11_43""}","{""ImportId"":""QID11_44""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID20_FIRST_CLICK""}","{""ImportId"":""QID20_LAST_CLICK""}","{""ImportId"":""QID20_PAGE_SUBMIT""}","{""ImportId"":""QID20_CLICK_COUNT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID15_FIRST_CLICK""}","{""ImportId"":""QID15_LAST_CLICK""}","{""ImportId"":""QID15_PAGE_SUBMIT""}","{""ImportId"":""QID15_CLICK_COUNT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID16_FIRST_CLICK""}","{""ImportId"":""QID16_LAST_CLICK""}","{""ImportId"":""QID16_PAGE_SUBMIT""}","{""ImportId"":""QID16_CLICK_COUNT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID18_FIRST_CLICK""}","{""ImportId"":""QID18_LAST_CLICK""}","{""ImportId"":""QID18_PAGE_SUBMIT""}","{""ImportId"":""QID18_CLICK_COUNT""}","{""ImportId"":""survey_code""}"
2019-01-13 05:01:32,2019-01-13 05:03:44,0,174.72.236.106,100,131,1,2019-01-13 05:03:47,R_2dYXvmgkvNAfOGx,,,,,36.126007080078125,-115.1454010009765625,anonymous,EN,1,4,3,3,3,3,2,4,3,2,4,2,3,2,3,2,2,4,2,3,2,4,3,1,3,2,4,3,4,3,2,3,2,3,4,3,3,2,3,2,4,4,3,3,2,2.563,40.901,43.086,49,2,1,3,0,0,19.52,0,1,3,2,0,0,14.697,0,5,1,2,3,0,0,5.44,0,3,2,1,17.109,17.109,21.035,1,2,3,1,0,0,7.681,0,2,3,1,0,0,7.067,0,3,2,1,0,0,3.664,0,32666181
2019-01-13 05:01:19,2019-01-13 05:03:49,0,99.101.39.20,100,150,1,2019-01-13 05:03:50,R_12xxB9plCejZ0kt,,,,,30.0532073974609375,-95.37729644775390625,anonymous,EN,1,3,5,2,3,2,3,3,3,3,2,4,3,3,5,3,2,3,3,3,3,3,3,3,4,2,2,3,2,3,2,2,2,4,3,2,4,4,4,5,2,3,3,4,3,0,0,14.962,0,2,1,3,0,0,12.165,0,1,2,3,5.061,23.322,24.702,3,3,3,2,1,15.72,15.72,16.646,1,2,3,1,15.319,15.319,18.382,1,2,3,1,10.421,10.421,11.035,1,2,3,1,13.327,13.327,15.741,1,3,1,2,12.23,12.23,13.379,1,43652007
2019-01-13 05:00:04,2019-01-13 05:04:01,0,71.82.73.120,100,236,1,2019-01-13 05:04:01,R_2RZUV6koUOrc6Uf,,,,,42.4595947265625,-83.9098968505859375,anonymous,EN,1,5,1,5,1,4,1,5,1,5,5,3,1,5,1,4,3,5,1,1,5,2,5,1,5,4,2,1,5,1,5,1,5,5,5,3,5,1,5,1,5,1,5,1,5,2.482,74.416,75.796,49,2,1,3,0,0,34.888,0,1,2,3,0,0,22.302,0,3,3,2,1,0,0,18.368,0,3,1,2,0,0,21.657,0,2,3,1,0,0,25.535,0,3,1,2,0,0,11.219,0,3,1,2,0,0,13.368,0,10518774
2019-01-13 04:59:23,2019-01-13 05:04:11,0,97.88.229.41,100,287,1,2019-01-13 05:04:11,R_2afu1lkf3mi8pDu,,,,,44.0496063232421875,-92.48960113525390625,anonymous,EN,1,4,1,4,1,4,2,5,2,5,4,4,1,5,2,3,3,3,2,1,4,2,3,2,5,3,4,2,4,1,4,2,3,4,2,3,4,2,3,2,5,2,4,1,3,2.735,96.657,97.903,45,3,1,2,0,0,51.021,0,1,3,2,0,0,30.494,0,3,2,3,1,0,0,19.556,0,2,3,1,0,0,15.833,0,1,2,3,0,0,23.769,0,3,1,2,0,0,13.808,0,3,1,2,0,0,16.868,0,55928357
2019-01-13 04:58:36,2019-01-13 05:04:19,0,108.45.105.102,100,342,1,2019-01-13 05:04:19,R_2SDomnxT8skTlUh,,,,,38.868194580078125,-76.8155975341796875,anonymous,EN,1,2,4,4,1,3,4,5,2,5,2,2,1,4,2,4,3,4,4,3,4,4,4,2,5,2,1,4,4,1,4,2,4,4,4,4,2,1,2,2,4,1,4,2,5,2.067,147.951,148.821,54,2,1,3,0,0,43.575,0,1,2,3,0,0,24.775,0,3,2,3,1,0,0,20.405,0,1,3,2,0,0,30.332,0,3,2,1,0,0,19.193,0,3,2,1,0,0,21.407,0,3,2,1,12.845,12.845,13.987,1,66934953
2019-01-13 04:59:00,2019-01-13 05:04:44,0,108.194.200.239,100,343,1,2019-01-13 05:04:44,R_3g2b79lnewcZxqM,,,,,29.4633941650390625,-90.59799957275390625,anonymous,EN,1,1,1,5,1,4,5,5,1,5,5,3,1,5,1,5,5,5,1,3,5,5,5,1,4,4,5,1,5,1,4,1,5,5,3,1,5,1,4,2,5,1,5,1,4,15.342,141.02,141.947,59,3,1,2,0,0,57.415,0,1,3,2,0,0,44.493,0,3,2,1,3,0,0,26.24,0,3,1,2,0,0,21.427,0,3,2,1,0,0,10.445,0,3,1,2,0,0,8.197,0,3,2,1,0,0,6.561,0,68882428
2019-01-13 04:59:00,2019-01-13 05:05:14,0,207.173.79.34,100,373,1,2019-01-13 05:05:14,R_Z2WtfI90YexbTDr,,,,,47.737396240234375,-117.4351959228515625,anonymous,EN,1,4,3,5,1,4,4,4,1,5,5,4,1,5,2,4,4,3,1,1,4,3,4,1,5,4,4,3,4,1,4,2,4,5,5,3,4,2,4,1,5,3,3,2,2,3.45,102.563,115.359,44,3,1,2,0,0,40.011,0,1,3,2,0,0,31.668,0,3,3,2,1,0,0,50.651,0,2,3,1,0,0,22.988,0,2,3,1,0,0,27.799,0,2,3,1,0,0,21.337,0,3,2,1,0,0,34.458,0,17906894
2019-01-13 04:59:01,2019-01-13 05:05:30,0,76.23.201.154,100,389,1,2019-01-13 05:05:30,R_d3StIb55nsDxBDP,,,,,41.386199951171875,-73.08170318603515625,anonymous,EN,1,1,3,4,2,4,4,5,2,4,4,3,2,5,3,4,5,4,3,3,4,4,5,3,4,3,3,2,3,2,3,4,5,4,3,4,2,2,5,2,4,3,3,2,2,2.252,95.776,96.77,45,3,1,2,0,0,51.561,0,2,1,3,0,0,64.601,0,3,3,2,1,0,0,16.288,0,2,1,3,0,0,66.465,0,2,3,1,0,0,31.488,0,2,3,1,0,0,12.892,0,3,2,1,0,0,12.014,0,74120499
